query_file,query_hash,join_count,read_tables,n_tables,bytes_read,runtime_ms,rows_returned,status,error_msg
29b.sql,40c25ddc,16,aka_name|complete_cast|comp_cast_type|char_name|cast_info|company_name|info_type|keyword|movie_companies|movie_info|movie_keyword|name|person_info|role_type|title,15,745082582,130.04,1,ok,
29c.sql,8a55e02e,16,aka_name|complete_cast|comp_cast_type|char_name|cast_info|company_name|info_type|keyword|movie_companies|movie_info|movie_keyword|name|person_info|role_type|title,15,745082582,235.41,1,ok,
2a.sql,840ff0c2,4,company_name|keyword|movie_companies|movie_keyword|title,5,68207896,96.72,1,ok,
2b.sql,9a814906,4,company_name|keyword|movie_companies|movie_keyword|title,5,68207896,97.85,1,ok,
2c.sql,25d55bbe,4,company_name|keyword|movie_companies|movie_keyword|title,5,68207896,88.47,1,ok,
2d.sql,d4024b14,4,company_name|keyword|movie_companies|movie_keyword|title,5,68207896,96.09,1,ok,
30a.sql,4f0e5d96,11,complete_cast|comp_cast_type|cast_info|info_type|keyword|movie_info|movie_info_idx|movie_keyword|name|title,10,616588730,356.18,1,ok,
30b.sql,41e56efc,11,complete_cast|comp_cast_type|cast_info|info_type|keyword|movie_info|movie_info_idx|movie_keyword|name|title,10,616588730,177.08,1,ok,
30c.sql,22c86934,11,complete_cast|comp_cast_type|cast_info|info_type|keyword|movie_info|movie_info_idx|movie_keyword|name|title,10,616588730,488.74,1,ok,
31a.sql,19e3cbf1,10,cast_info|company_name|info_type|keyword|movie_companies|movie_info|movie_info_idx|movie_keyword|name|title,10,639271380,324.65,1,ok,
31b.sql,35fcc932,10,cast_info|company_name|info_type|keyword|movie_companies|movie_info|movie_info_idx|movie_keyword|name|title,10,639271380,216.05,1,ok,
31c.sql,588bd257,10,cast_info|company_name|info_type|keyword|movie_companies|movie_info|movie_info_idx|movie_keyword|name|title,10,639271380,395.97,1,ok,
32a.sql,3bdb3bad,5,keyword|link_type|movie_keyword|movie_link|title,5,45104918,17.15,1,ok,
32b.sql,dced393c,5,keyword|link_type|movie_keyword|movie_link|title,5,45104918,56.44,1,ok,
33a.sql,60e32338,13,company_name|info_type|kind_type|link_type|movie_companies|movie_info_idx|movie_link|title,8,64723403,60.58,1,ok,
33b.sql,09255b59,13,company_name|info_type|kind_type|link_type|movie_companies|movie_info_idx|movie_link|title,8,64723403,97.9,1,ok,
33c.sql,1ed5e57b,13,company_name|info_type|kind_type|link_type|movie_companies|movie_info_idx|movie_link|title,8,64723403,63.96,1,ok,
3a.sql,e54a7e1d,3,keyword|movie_info|movie_keyword|title,4,341699294,209.17,1,ok,
3b.sql,c3b037bb,3,keyword|movie_info|movie_keyword|title,4,341699294,142.39,1,ok,
3c.sql,fe3aa288,3,keyword|movie_info|movie_keyword|title,4,341699294,177.22,1,ok,
4a.sql,206ec6c3,4,info_type|keyword|movie_info_idx|movie_keyword|title,5,56025513,216.03,1,ok,
4b.sql,940777f9,4,info_type|keyword|movie_info_idx|movie_keyword|title,5,56025513,57.72,1,ok,
4c.sql,15e5539a,4,info_type|keyword|movie_info_idx|movie_keyword|title,5,56025513,250.21,1,ok,
5a.sql,048f19ff,4,company_type|info_type|movie_companies|movie_info|title,5,347927523,154.28,1,ok,
5b.sql,0ab0ed4a,4,company_type|info_type|movie_companies|movie_info|title,5,347927523,137.05,1,ok,
5c.sql,f5482cfa,4,company_type|info_type|movie_companies|movie_info|title,5,347927523,147.97,1,ok,
6a.sql,c44094c4,4,cast_info|keyword|movie_keyword|name|title,5,308293359,127.97,1,ok,
6b.sql,ac681cba,4,cast_info|keyword|movie_keyword|name|title,5,308293359,68.34,1,ok,
6c.sql,e6a499f7,4,cast_info|keyword|movie_keyword|name|title,5,308293359,56.86,1,ok,
6d.sql,176ee13d,4,cast_info|keyword|movie_keyword|name|title,5,308293359,166.07,1,ok,
6e.sql,84a04d1b,4,cast_info|keyword|movie_keyword|name|title,5,308293359,122.46,1,ok,
6f.sql,d423e118,4,cast_info|keyword|movie_keyword|name|title,5,308293359,361.32,1,ok,
7a.sql,c33a705c,7,aka_name|cast_info|info_type|link_type|movie_link|name|person_info|title,8,378676288,99.02,1,ok,
