experiment,query_file,cpu_time_ms_T,cpu_time_ms_Tprime,q_error_cpu_time,bytes_scanned_T,bytes_scanned_Tprime,q_error_bytes_scanned
imdb_to_tpch,17d.sql,2385.84,136.94,17.423,331516361.0,136872015.0,2.422
imdb_to_tpch,17e.sql,1982.1,116.04,17.081,331516361.0,139571995.0,2.375
imdb_to_tpch,17f.sql,3976.64,100.19,39.691,331516361.0,136872015.0,2.422
imdb_to_tpch,18a.sql,2027.27,126.33,16.047,601403228.0,139571995.0,4.309
imdb_to_tpch,18b.sql,1619.12,102.47,15.801,601403228.0,136872015.0,4.394
imdb_to_tpch,18c.sql,3187.07,95.72,33.296,601403228.0,139571995.0,4.309
imdb_to_tpch,19a.sql,1744.87,133.16,13.104,655805480.0,139572015.0,4.699
imdb_to_tpch,19b.sql,934.07,105.83,8.826,655805480.0,139572015.0,4.699
imdb_to_tpch,19c.sql,1928.7,102.57,18.804,655805480.0,139572015.0,4.699
imdb_to_tpch,19d.sql,2325.42,132.14,17.598,655805480.0,139572015.0,4.699
imdb_to_tpch,1a.sql,130.18,67.6,1.926,62253403.0,127222015.0,2.044
imdb_to_tpch,1b.sql,85.35,1042.19,12.211,62253403.0,12450145.0,5.0
imdb_to_tpch,1c.sql,85.39,50.55,1.689,62253403.0,19350145.0,3.217
imdb_to_tpch,1d.sql,110.52,1.04,106.269,62253403.0,127222015.0,2.044
imdb_to_tpch,20a.sql,1394.55,103.01,13.538,340237115.0,139572015.0,2.438
imdb_to_tpch,20b.sql,1024.79,88.78,11.543,340237115.0,139572015.0,2.438
imdb_to_tpch,20c.sql,960.24,100.35,9.569,340237115.0,139572015.0,2.438
imdb_to_tpch,21a.sql,148.07,85.47,1.732,365042328.0,139572015.0,2.615
imdb_to_tpch,21b.sql,132.97,130.21,1.021,365042328.0,139572015.0,2.615
imdb_to_tpch,21c.sql,119.82,97.38,1.23,365042328.0,139572015.0,2.615
imdb_to_tpch,22a.sql,709.49,88.35,8.03,375962937.0,139572015.0,2.694
imdb_to_tpch,22b.sql,612.18,115.6,5.296,375962937.0,139572015.0,2.694
imdb_to_tpch,22c.sql,1794.71,82.38,21.786,375962937.0,139572015.0,2.694
imdb_to_tpch,22d.sql,2854.73,96.62,29.546,375962937.0,139572015.0,2.694
imdb_to_tpch,23a.sql,657.26,129.28,5.084,365463009.0,139572015.0,2.618
imdb_to_tpch,23b.sql,390.96,122.95,3.18,365463009.0,139572015.0,2.618
imdb_to_tpch,23c.sql,678.59,128.06,5.299,365463009.0,139572015.0,2.618
